Time,Shortwave Flux (Wm-2),Net Radiation (Wm-2),Sensible Heat Flux (Wm-2),Latent Heat Flux (Wm-2),Ground Flux (Wm-2),Air Temperature at 50m (C),Air Temperature at 1.3m (C),Air Temperature in Foliage (C),Radiometric Temperature (C),Wind at 50 m (kts),Wind at 10 m (kts),Wind in Foliage (kts),Specific Humidity at 50m (gKg-1),specific Humidity at 1.3m (gKg-1),Specific Humidity of Foliage (gKg-1),Bowen Ratio ( x 1000),Surface Moisture Availability ( x 1000),Root Zone Moisture Availability ( x 1000),Stomatal Resistance (sm-1),Vapor Pressure Deficit (mbar),Leaf Water Potential (bars),Epidermal Water Potential (bars),Ground Water Potential (mbars),CO2 Flux (micromolesm-2s-1),CO2 Concentration in Canopy (ppmv),Water Use Efficiency ( x 1000),O3 Concentration in Canopy (ppmv ( x 1000)),Global O3 Flux (ugm-2s-1),O3 Flux in Plant (ugm-2s-1),Wet Bulb Potential Temperature (K),Lifted Index,K Index,Total Totals,Sweat Index,LE _ (LE + H),H _ (LE + H),Longwave downwelling radiation,Longwave upwelling radiation,Daily Heat Flux
10:00,400.49133887223496,270.91975775298266,119.20389888127183,53.42306723848591,98.29279163322494,11.961600665541084,13.339472701886734,16.08186313470901,16.507789690765435,7.251922689061783,5.5182720662811775,0.8504340507399658,7.751135312177727,7.911700470238979,8.393284086242437,2231.318886074693,270.599433045084,469.39910051492296,373.30197873635893,7.565962165766261,-4.456652087328088,-4.456652087328088,-971.2866852780917,10.96867076443457,346.4574421548463,25.17825335313036,49.79669293151136,1.2393763973835177,0.856333629612634,280.9062783961179,310.2120531602998,-69.92931256734693,-60.35748171623129,-2222.528669295189,0.3094711587610498,0.6905288412389501,NaN,380.3405688309062,-3.187582548054352
10:15,407.9518361216367,276.7802921991561,122.03016699240277,56.88929050775302,97.86083469900034,12.238104987115605,13.629608473173903,16.50278013003259,16.989514035002628,6.951742988289475,5.307833116143295,0.8233202454083597,7.7655221835214485,7.935784836039428,8.460972542965838,2145.0463857652117,270.96926920257215,469.3146886323507,381.0611547720169,8.122924827452179,-4.66364804650836,-4.66364804650836,-972.7066276835183,10.81737775751712,346.4444302748175,23.436579028666777,49.74878071808058,1.221776838810034,0.8513881327215191,281.16218775727424,310.2120531602998,-69.92931256734693,-60.35748171623129,-2222.5270107430597,0.3179603342342098,0.6820396657657903,NaN,382.97012019464205,-2.7523516189572597
10:30,412.3127731856454,279.76534452283187,123.50492610880876,59.95183525793709,96.308583156086,12.49882033542724,13.894815435421492,16.878114054236562,17.4180406577683,6.661531946833961,5.092683925228153,0.795214332580623,7.775038711997036,7.953287981997091,8.521276511574193,2060.069146798268,271.3294324504967,469.225660232212,387.9775068273328,8.62676249984314,-4.848124955788898,-4.848124955788898,-974.2080757314541,10.683289480906529,346.39985354979007,22.03936296382008,49.668714651887,1.2034021384419822,0.8464159860733245,281.4035086970114,310.2120531602998,-69.92931256734693,-60.35748171623129,-2222.5261687321554,0.3267900011495799,0.67320999885042,NaN,385.3433523268214,-2.4548983903968056
10:45,413.56348265962333,279.94767715233553,123.6411334928256,62.510557264904996,93.79598639460494,12.744004611278626,14.137493045145845,17.197371885454743,17.779152415260626,6.406874752422517,4.90093598396041,0.7697767227178479,7.780164091414883,7.965477372421304,8.572495304047488,1977.9240323976578,271.680998419586,469.1326979249027,393.71245998299077,9.047529364543527,-5.001063986861608,-5.001063986861608,-975.7802755171334,10.572425637746045,346.3368981195057,20.984381712099793,49.56896085712212,1.1864148062020061,0.8417823953310266,281.630477262698,310.2120531602998,-69.92931256734693,-60.35748171623129,-2222.526149297501,0.33580440236914166,0.6641955976308583,NaN,387.4343295990654,-2.2335534766590506
11:00,411.6611815160301,277.32711350135423,122.48047083398428,64.5155311843878,90.33111148298217,12.97370353564554,14.358632275884986,17.455149970349623,18.065907780252928,6.20137107213923,4.742438917294917,0.7483625434072376,7.784636899638208,7.975293661336912,8.6154493287449,1898.464890321224,272.02487378451815,469.03662611739315,398.0832835268153,9.367131980916357,-5.1175935576673455,-5.1175935576673455,-977.4097585827972,10.486911576427612,346.26277374623993,20.236410332861617,49.458075118189456,1.1717095577223084,0.8376818786807099,281.84313280848977,310.2120531602998,-69.92931256734693,-60.35748171623129,-2222.526952454979,0.3450102167320628,0.6549897832679372,NaN,389.2091420451637,-2.0586113086653772
11:15,406.6542126716088,271.9769255368658,120.07354642742739,65.88898308183404,86.01439602760435,13.187921534439738,14.559481637419537,17.649164929379936,18.274463611635156,6.044113046590865,4.62051079585334,0.7314158181625691,7.7935056638007465,7.988415163577692,8.65402432770011,1822.3615058422768,272.36196524015423,468.9384043633934,400.8909815202456,9.567215141381094,-5.192401966589534,-5.192401966589534,-979.0806919313012,10.428619824861027,346.1783349171841,19.780038256460205,49.33763038576942,1.1595795079350246,0.8341916460647367,282.0414762239429,310.2120531602998,-69.92931256734693,-60.35748171623129,-2222.528572211504,0.3543132224309338,0.6456867775690661,NaN,390.6492992381971,-1.9124501946330945
11:30,398.5525331261174,263.902070338807,116.34303374380045,66.59981317525386,80.95922341975269,13.386497224415507,14.73957140309659,17.781732454701853,18.40605848378641,5.911535479889612,4.519727948243079,0.7168301994376404,7.80549502419373,8.004064262363238,8.688170813134118,1746.8972989105832,272.6933809456936,468.83905302239145,402.14389654030924,9.647316466202751,-5.2256964517144855,-5.2256964517144855,-980.7758656457297,10.394506820423313,346.0699914176273,19.580956821322673,49.19248459126169,1.1486275443767588,0.8309911692100016,282.2253547011153,310.2120531602998,-69.92931256734693,-60.35748171623129,-2222.5309966178056,0.364047101577696,0.635952898422304,NaN,391.74755743883316,-1.7853634929946
11:45,387.39430376807223,253.1199615875699,111.21760512433897,66.6509386091993,75.25141785403162,13.568962409764083,14.897400274491304,17.856458383755978,18.464349892768666,5.778478716098297,4.421196845021333,0.7020385381920882,7.816778480212424,8.018681618767586,8.71607058479482,1668.6577480394026,273.02055912865507,468.73954631307004,401.9507697600799,9.616305946715157,-5.220346272380665,-5.220346272380665,-982.4786032715233,10.380033813248916,345.92083725052856,19.60499914624799,49.00387601729706,1.1371375190282822,0.8276619953316513,282.39433115949737,310.2120531602998,-69.92931256734693,-60.35748171623129,-2222.5342078631493,0.374720213086401,0.625279786913599,NaN,392.5031968071851,-1.6717351121086064
12:00,373.2322752653728,239.65690455168186,104.5766982039674,66.07034342265692,69.00986292505755,13.734521292489887,15.030843551630767,17.877613607693604,18.453619442273634,5.6065369001585355,4.298970668473039,0.6834538905793243,7.8168533184462925,8.022561625642574,8.731348284180894,1582.8084551488168,273.3452668590992,468.6407633589215,400.5192039622758,9.492083221914397,-5.181828282053389,-5.181828282053389,-984.1736354660183,10.378154306855345,345.7028325139946,19.815495636053505,48.73956239143737,1.1225834159672785,0.8235075345780634,282.5476649484917,310.2120531602998,-69.92931256734693,-60.35748171623129,-2222.5381824110646,0.387175439977558,0.612824560022442,NaN,392.92744064916667,-1.5681984076225528
12:15,356.2258976635146,223.65280329300222,96.52720230084925,64.90448036840971,62.22112062374326,13.882349019966739,15.137630160611877,17.845708827563442,18.376648873469776,5.399143921774148,4.14572500618198,0.660159626627986,7.8049802072511225,8.013004859551124,8.732355759896137,1487.2193992301177,273.66956805664455,468.5434381204216,397.9783906126635,9.286111386166429,-5.113475741647034,-5.113475741647034,-985.8481067380682,10.385575836114748,345.4054836042616,20.19542072675392,48.390374934678505,1.1043298407063054,0.818294504187087,282.6845883577491,310.2120531602998,-69.92931256734693,-60.35748171623129,-2222.5428911749077,0.40205540384154903,0.5979445961584509,NaN,393.0158826334897,-1.472687899391031
12:30,336.4685951458949,205.22689132452888,87.35227313212522,63.14021664965533,54.73440154274833,14.011992894350044,15.219050858437129,17.75429176825088,18.228257092138904,5.185370073741227,3.9842578396524417,0.6352288010454745,7.787478092893333,7.996725717575554,8.722815681891593,1383.464893964726,273.9952512581702,468.44832829772855,394.1324547745361,8.98410758846119,-5.0098418178588755,-5.0098418178588755,-987.4890259916082,10.407453398287485,345.0374376999229,20.79737559364583,47.96815749916478,1.0842568945514672,0.8123497405198565,282.8046783844525,310.2120531602998,-69.92931256734693,-60.35748171623129,-2222.5482997318663,0.4195572599085236,0.5804427400914765,NaN,392.7593206742754,-1.3823263422246734
12:45,314.10570432775523,184.5541467228549,77.16357269287424,60.74774370048782,46.64283032949285,14.123174257055098,15.27527905066654,17.5979854487706,18.002589987190277,4.975828708632948,3.824380599542402,0.6098881069212471,7.766462991161871,7.97637463805822,8.703648268459274,1270.229443801624,274.32378201848485,468.3563162115643,388.8418057955847,8.577490876583326,-4.86675045045105,-4.86675045045105,-989.0811462956265,10.446502544856585,344.59068054526415,21.686734803557016,47.46569624109979,1.0629019734218568,0.8056353149898048,282.90767343688884,310.2120531602998,-69.92931256734693,-60.35748171623129,-2222.554368573808,0.44048411174046137,0.5595158882595386,NaN,392.14729658427973,-1.294347397863175
13:00,289.290967283613,161.7926984574306,66.10726521070458,57.74313699194174,37.94229625478427,14.2156858505449,15.306075239198549,17.374212385676685,17.698117774688285,4.774179286798276,3.6691563864311707,0.5844523965000463,7.742253730808545,7.952640142555253,8.674847456607573,1144.85060311029,274.6564338919993,468.2683190034971,382.12080884803237,8.069728814435138,-4.68362979126169,-4.68362979126169,-990.608347504725,10.502350973741516,344.04896471783564,22.927374977791388,46.86724219013688,1.0401319541177079,0.7978954731417173,282.99337838709096,310.2120531602998,-69.92931256734693,-60.35748171623129,-2222.561053393163,0.46623293881162653,0.5337670611883735,NaN,391.17791720105447,-1.2072194063606014
13:15,262.2646616698057,137.18499114820122,54.334718804831375,54.13998916264357,28.71028318072628,14.289279501568672,15.310590305383641,17.080362806149992,17.313501861248312,4.583934890194686,3.5208895439582717,0.5590679820604446,7.715241484930893,7.926320898492392,8.63657278532608,1003.5967802210453,274.99432497875694,468.1852640191757,374.0258730073333,7.466157684666785,-4.459945075905201,-4.459945075905201,-992.0542383071231,10.573312444886565,343.3861563096523,24.61751989872429,46.14670316855869,1.015506367966993,0.7886796291655165,283.0615606030446,310.2120531602998,-69.92931256734693,-60.35748171623129,-2222.56830540185,0.4991024191452712,0.5008975808547288,NaN,389.85424282849834,-1.1194004764702827
13:30,233.26193266390686,110.96599410041267,42.027414201782946,49.94702546252698,18.991554436102746,14.343830403871493,15.287467697215277,16.71335854981163,16.847701696992544,4.410988389566539,3.3830196471403204,0.5339195001675449,7.687068367142215,7.899607516638256,8.59013644151228,841.4397817005986,275.33841356620314,468.10808312656206,364.67899534640947,6.77252538890898,-4.1944711469723766,-4.1944711469723766,-993.4022792260519,10.655338262634574,342.561181123041,26.91263766313284,45.26212216543238,0.988249446563854,0.777232037233601,283.1121022179195,310.2120531602998,-69.92931256734693,-60.35748171623129,-2222.576071681088,0.5430533270419977,0.45694667295800234,NaN,388.1811344479918,-1.0291994252058028
13:45,202.5534969168673,83.40222744691476,29.417398853712527,45.14715054401135,8.837678049190885,14.379412919535696,15.234397510729139,16.269766447226743,16.30034103052776,4.265134448327895,3.261842781746569,0.5093238231395374,7.661858202057129,7.878056091776694,8.539649876205427,651.5892697377479,275.68951422679305,468.03774310968316,354.3305844336889,5.992574481399844,-3.8838892251335837,-3.8838892251335837,-994.6353290641149,10.738826582044544,341.50215499748685,30.078503730674985,44.13771002364083,0.9568779968331509,0.7621377229791055,283.1450704358508,310.2120531602998,-69.92931256734693,-60.35748171623129,-2222.584295559751,0.6054774139812543,0.3945225860187456,NaN,386.1684548505664,-0.9342458678428286
14:00,170.5343918633408,54.87230671846654,16.806812621630844,39.67186710419184,-1.6063730073561473,14.396274510639557,15.145965711723989,15.746180693642202,15.673294717285103,4.150140430284733,3.1587296087285006,0.4842993992310781,7.642677440970599,7.868755747288153,8.491611385089437,423.645617119316,276.0484229817993,467.97529552430507,343.6120602761165,5.130484693357673,-3.5226614172461534,-3.5226614172461534,-995.7348129244953,10.794222000729887,340.03310800080584,34.571550441710045,42.58551513496043,0.9167811424374194,0.7397673712970694,283.1606934272161,310.2120531602998,-69.92931256734693,-60.35748171623129,-2222.5929170187924,0.7024219988282306,0.29757800117176925,NaN,383.84354594664677,-0.8308088794406242
14:15,137.65159661621448,25.80520378697832,4.729876716368498,33.27781435775259,-12.202487287142766,14.394974121218638,15.006502068081545,15.132558447106987,14.968797428341134,4.066947079849179,3.064972785411085,0.45445400163118715,7.632235657609038,7.889381522826526,8.464474952017998,142.1330339042113,276.41631243928947,467.92198697506785,333.8066090371584,4.173877780660575,-3.0944746053312278,-3.0944746053312278,-996.6790873705773,10.727109120409342,337.53925228967324,41.28351544305828,39.9775437154288,0.8524452999335311,0.698268413038143,283.15948855470793,310.2120531602998,-69.92931256734693,-60.35748171623129,-2222.6018731191075,0.875554747402454,0.12444525259754613,NaN,381.2636545781178,-0.7108678638243968
14:30,104.54587098454863,-2.217695347527048,-4.913329752561092,16.13682616201754,-13.441191756983498,14.387917377169117,14.708828639431204,14.737586875204329,14.433262601313743,4.039770060980261,2.8622267969917314,NaN,7.6332059449649154,7.992768958196617,7.6332059449649154,NaN,276.7887056911752,467.88387472718694,NaN,NaN,NaN,NaN,-997.3641187983692,NaN,NaN,NaN,NaN,NaN,NaN,283.15295016287484,310.2120531602998,-69.92931256734693,-60.35748171623129,-2222.606456302824,1.4377717578651628,-0.4377717578651627,NaN,375.92605320568487,-0.35451536968454395
14:45,72.15459623861194,-35.118095013091995,-3.400005251542006,6.073183996681926,-37.79127375823192,13.920578846085505,14.066304116130539,14.01181208104066,14.439978797317053,4.027857391361147,2.3273610933216506,NaN,7.710939912793254,7.703946148233354,7.703946148233354,NaN,277.1834357870178,467.88387472718694,NaN,NaN,NaN,NaN,-997.3641187983692,NaN,NaN,NaN,NaN,NaN,NaN,282.8614212853164,310.2120531602998,-69.88584530061036,-60.31401444949472,-2221.7443413341334,2.271895961960465,-1.2718959619604648,NaN,371.8984908868799,-0.13841726607005014
15:00,41.97910032829621,-61.738418445032565,-2.0665683729031854,6.021486073700787,-65.69333614583017,13.834819646302321,14.064022684092834,14.092523095321155,13.6460110444674,3.4645839045271583,2.1494896744420164,NaN,7.8025356739296114,7.794139048522282,7.794139048522282,NaN,277.55745336828437,467.88387472718694,NaN,NaN,NaN,NaN,-997.3641187983692,NaN,NaN,NaN,NaN,NaN,NaN,282.76190389942514,310.2120531602998,-69.90713489723021,-60.33530404611457,-2222.175975762607,1.5225313215712208,-0.522531321571221,NaN,367.92990780706185,-0.14371349083468607
15:15,23.582770743511453,-76.26166155477038,-1.6297366937102882,2.346106510952517,-76.97803137201262,13.692225059355223,13.587573056259941,13.649402439515029,12.849288128639614,3.3198555424268053,1.615571898119556,NaN,7.858250788300715,7.854792974475987,7.854792974475987,NaN,277.9594519784885,467.88387472718694,NaN,NaN,NaN,NaN,-997.3641187983692,NaN,NaN,NaN,NaN,NaN,NaN,282.63857601096174,310.2120531602998,-69.93081314285479,-60.35898229173915,-2222.653822717279,NaN,NaN,NaN,363.826638402678,-0.059240563579917374
15:30,6.3345319078585,-89.72316543115235,-0.3273850444049093,0.3926992110102678,-89.78847959775771,13.417713580769146,12.821916053033021,12.909386673015035,12.03915862505147,3.4884177707277013,1.6704911897259431,NaN,7.875615091883786,7.874935069068259,7.874935069068259,NaN,278.3860035908676,467.88387472718694,NaN,NaN,NaN,NaN,-997.3641187983692,NaN,NaN,NaN,NaN,NaN,NaN,282.43914217494887,310.2120531602998,-69.95644550084393,-60.38461464972829,-2223.1690646474563,NaN,NaN,NaN,359.7544915703957,-0.010612107178904111
15:45,0.0,-92.4536381973035,-0.001,0.009185449591564743,-92.46182364689507,13.00228526412235,11.93396048028734,12.017325426917239,11.298298091128913,3.7651965777862255,2.424740465454786E-5,NaN,7.8769341434189615,7.876921471897854,7.876921471897854,NaN,278.82102602169243,467.88387472718694,NaN,NaN,NaN,NaN,-997.3641187983692,NaN,NaN,NaN,NaN,NaN,NaN,282.14762623310315,310.2120531602998,-69.98358696089355,-60.41175610977791,-2223.7127241164394,1.1221679993033638,-0.12216799930336368,NaN,355.9211584676305,-2.691752906818452E-4
16:00,0.0,-90.151507925916,-0.001,0.005006939850868214,-90.15551486576686,12.50572205783385,11.18787700199897,11.255688566618005,10.76098909473103,4.017624403425807,2.3124127058551654E-11,NaN,7.877028515533636,7.877021476556308,7.877021476556308,NaN,279.25491134998583,467.88387472718694,NaN,NaN,NaN,NaN,-997.3641187983692,NaN,NaN,NaN,NaN,NaN,NaN,281.7918213624989,310.2120531602998,-70.01191408447858,-60.44008323336294,-2224.2783070827354,1.2495670105413044,-0.24956701054130437,NaN,353.18036505505796,-1.6159879905536947E-4
16:15,0.0,-88.51637669674432,-0.001,0.0016876412846323814,-88.51706433802894,12.012718878858266,10.579701460232911,10.635408083656841,10.312431522412453,4.240473021132126,2.2052886065055518E-17,NaN,7.877073840643988,7.877071230648612,7.877071230648612,NaN,279.6871808356245,467.88387472718694,NaN,NaN,NaN,NaN,-997.3641187983692,NaN,NaN,NaN,NaN,NaN,NaN,281.4199324059625,310.2120531602998,-70.04122197579255,-60.46939112467692,-2224.861743160637,2.454246599714571,-1.4542465997145708,NaN,350.92203463952046,-6.113127671544519E-5
16:30,0.0,-87.27080060652358,-0.001,0.001,-87.27080060652358,11.55243856127339,10.071773370524681,10.119033325893213,9.915337211733004,4.432138443854163,2.1031271042876737E-23,NaN,7.877086107172448,7.8770847980815395,7.8770847980815395,NaN,280.11783503161917,467.88387472718694,NaN,NaN,NaN,NaN,-997.3641187983692,NaN,NaN,NaN,NaN,NaN,NaN,281.0563387926328,310.2120531602998,-70.07139702021783,-60.499566169102195,-2225.4608396643293,NaN,NaN,NaN,348.94063696730154,-4.1633052638019946E-5
16:45,0.0,-86.27494907328318,-0.001,0.001,-86.27494907328318,11.129848257053766,9.632687112317399,9.6741780428099,9.552009237973039,4.591260111787774,2.0056983034970033E-29,NaN,7.877099198081534,7.877097888990625,7.877097888990625,NaN,280.54686500337493,467.88387472718694,NaN,NaN,NaN,NaN,-997.3641187983692,NaN,NaN,NaN,NaN,NaN,NaN,280.7104676426875,310.2120531602998,-70.10240121400079,-60.53057036288516,-2226.0749659201,NaN,NaN,NaN,347.1394115727347,-4.9385780552912794E-5
17:00,0.0,-85.4513619766733,-0.105667559355665,0.001,-85.34669441731764,10.740984175973665,9.24483380546269,9.280770949041823,9.214608738800962,4.713873385059366,1.772121385671598,NaN,7.87711228899062,7.877110979899712,7.877110979899712,NaN,280.97428562341975,467.88387472718694,NaN,NaN,NaN,NaN,-997.3641187983692,NaN,NaN,NaN,NaN,NaN,NaN,280.38365674773263,310.2120531602998,-70.13423633453084,-60.562405483415205,-2226.704332894362,NaN,NaN,NaN,345.4733003749505,-6.126065148364841E-5
17:15,0.0,-84.7784374199443,-0.560336298660373,0.001,-84.21910112128393,10.380623976139077,8.93133960303561,8.959388123488054,8.904325875012944,4.761111242403906,2.1668310469611813,NaN,7.877125379899706,7.877124070808797,7.877124070808797,NaN,281.40011034416614,467.88387472718694,NaN,NaN,NaN,NaN,-997.3641187983692,NaN,NaN,NaN,NaN,NaN,NaN,282.8239766572285,310.2120531602998,-70.16691411243016,-60.59508326131453,-2227.3493914690835,NaN,NaN,NaN,343.94553054864605,-8.147200182993023E-5
17:30,0.0,-84.21452687959197,-0.812679413676936,0.001,-83.40284746591504,10.056648365882722,8.66820322118491,8.6941467609808,8.61378073484866,4.736952732865184,2.1707926378502624,NaN,7.8771384708087915,7.877137161717883,7.877137161717883,NaN,281.8243524523287,467.88387472718694,NaN,NaN,NaN,NaN,-997.3641187983692,NaN,NaN,NaN,NaN,NaN,NaN,282.51313880326364,310.2120531602998,-70.20044849444531,-60.628617643329676,-2228.01067129693,NaN,NaN,NaN,342.5239030587904,-1.2298586865317444E-4
17:45,0.0,-83.6953989390003,-0.6158942914698985,0.001,-83.0805046475304,9.764956796716604,8.39176473780833,8.421434640999053,8.333239615857735,4.676520019771885,2.170603397587864,NaN,7.877151561717878,7.877150252626969,7.877150252626969,NaN,282.2470250711369,467.88387472718694,NaN,NaN,NaN,NaN,-997.3641187983692,NaN,NaN,NaN,NaN,NaN,NaN,282.22668530939217,310.2120531602998,-70.23482077607406,-60.662989924958424,-2228.6880760076983,NaN,NaN,NaN,341.1590909401027,-2.5472072389241585E-4
